2019-02-14 21:13:50 status half-configured libpython2.7-stdlib:amd64 2.7.9-2+deb8u2
2019-02-14 21:13:50 status installed libpython2.7-stdlib:amd64 2.7.9-2+deb8u2
2019-02-14 21:13:50 configure python2.7:amd64 2.7.9-2+deb8u2 <none>
2019-02-14 21:13:50 status unpacked python2.7:amd64 2.7.9-2+deb8u2
2019-02-14 21:13:50 status half-configured python2.7:amd64 2.7.9-2+deb8u2
2019-02-14 21:13:51 status installed python2.7:amd64 2.7.9-2+deb8u2
2019-02-14 21:13:51 configure libpython-stdlib:amd64 2.7.9-1 <none>
2019-02-14 21:13:51 status unpacked libpython-stdlib:amd64 2.7.9-1
2019-02-14 21:13:51 status half-configured libpython-stdlib:amd64 2.7.9-1
2019-02-14 21:13:52 status installed libpython-stdlib:amd64 2.7.9-1
2019-02-14 21:13:52 configure python:amd64 2.7.9-1 <none>
2019-02-14 21:13:52 status unpacked python:amd64 2.7.9-1
2019-02-14 21:13:52 status half-configured python:amd64 2.7.9-1
2019-02-14 21:13:52 status installed python:amd64 2.7.9-1
2019-02-14 21:13:52 configure libc-ares2:amd64 1.10.0-2+deb8u2 <none>
2019-02-14 21:13:52 status unpacked libc-ares2:amd64 1.10.0-2+deb8u2
2019-02-14 21:13:53 status half-configured libc-ares2:amd64 1.10.0-2+deb8u2
2019-02-14 21:13:53 status installed libc-ares2:amd64 1.10.0-2+deb8u2
2019-02-14 21:13:53 configure build-essential:amd64 11.7 <none>
2019-02-14 21:13:53 status unpacked build-essential:amd64 11.7
2019-02-14 21:13:53 status half-configured build-essential:amd64 11.7
2019-02-14 21:13:54 status installed build-essential:amd64 11.7
2019-02-14 21:13:54 configure python-pkg-resources:all 5.5.1-1 <none>
2019-02-14 21:13:54 status unpacked python-pkg-resources:all 5.5.1-1
2019-02-14 21:13:54 status half-configured python-pkg-resources:all 5.5.1-1
2019-02-14 21:13:55 status installed python-pkg-resources:all 5.5.1-1
2019-02-14 21:13:55 configure gyp:all 0.1~svn1729-3 <none>
2019-02-14 21:13:55 status unpacked gyp:all 0.1~svn1729-3
2019-02-14 21:13:55 status half-configured gyp:all 0.1~svn1729-3
2019-02-14 21:13:56 status installed gyp:all 0.1~svn1729-3
